StoreName;StoreCity;ProductName;Brand;Category;SpecsSummary;Description;PriceUSD;PriceIDR;Stock;Condition;ExperienceLevel;SoundSignature;Images
Sony Official Store;Surabaya;Sony MDR-7506 Professional Studio Monitor;Sony;HEADPHONES;40mm Neodymium Driver Closed-Back Studio Reference Monitor Headphones;Headphone standar industri rekaman dunia selama puluhan tahun, menawarkan respon frekuensi akurat dan presisi tinggi untuk monitoring vokal, podcasting, dan mixing studio.;99;1550000;50;Brand New Sealed;BEGINNER;BRIGHT;https://cdn.shopify.com/s/files/1/0065/4432/6771/files/114436_original_local_1200x1050_v3_convertedcopy.jpg?v=1762467468
Sennheiser Official Store;Surabaya;Sennheiser IE 200;Sennheiser;IN-EAR MONITORS;7mm TrueResponse Transducer with Dual-Tuning Eartip Feature;Pintu gerbang menuju suara audiophile sejati dengan driver 7mm TrueResponse buatan Irlandia, fitur dual-tuning pada nozzle untuk memilih bass bertenaga atau vokal terbuka.;149.95;2399000;45;Brand New Sealed;BEGINNER;NEUTRAL;https://cdn.shopify.com/s/files/1/0153/8863/files/Headphone-Zone-Sennheiser-IE200-Black-Gallary-001.jpg?v=1787221531
Sennheiser Official Store;Surabaya;Sennheiser IE 600;Sennheiser;IN-EAR MONITORS;7mm TrueResponse Driver in 3D-Printed AMLOY-ZR01 Amorphous Zirconium Shell;IEM inovatif dengan bodi paduan logam amorf Zirkonium cetak 3D sekuat baja luar angkasa, resonator D2CA ganda, dan karakter suara vokal holografis yang jernih memukau.;699.95;10999000;12;Brand New Sealed;ENTHUSIAST;V_SHAPE;https://cdn.shopify.com/s/files/1/0065/4432/6771/files/IE600-1.png?v=1762461080
Sennheiser Official Store;Surabaya;Sennheiser HD 600 Audiophile Classic;Sennheiser;HEADPHONES;Open-Back Circumaural Dynamic Audiophile Reference Headphones 300 Ohms;Legenda abadi dunia headphone audiophile dengan tonalitas paling alami dan vokal paling netral yang pernah diciptakan, menjadi tolok ukur referensi mastering akustik global.;449.95;6999000;20;Brand New Sealed;ENTHUSIAST;NEUTRAL;https://cdn.shopify.com/s/files/1/0065/4432/6771/products/Sennheiser_HD_600_Over-Ear_Open-Back_Headphones_on_sale.jpg?v=1762457349
CSI ZONE Store;Surabaya;Simgot EA500 LM;Simgot;IN-EAR MONITORS;2nd Gen Lithium-Magnesium Dome Dynamic Driver with 3 Tuning Nozzles;IEM jawara kelas budget-to-mid dengan diafragma kubah Lithium-Magnesium, bodi logam cor die-cast kokoh, dan 3 pilihan nozzle filter akustik kuningan/stainless steel.;89.99;1399000;50;Brand New Sealed;BEGINNER;BRIGHT;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/IMG_0047.jpg?v=1705473967
CSI ZONE Store;Surabaya;Simgot SuperMix 4;Simgot;IN-EAR MONITORS;Quadbrid Hybrid (1DD + 1BA + 1 Micro Planar + 1 PZT Transducer);IEM quadbrid paling bernilai tinggi yang memadukan 4 jenis teknologi transduser dengan 4-way crossover RC independen untuk staging suara holografis tanpa cacat.;149.99;2350000;30;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/IMG_5216.jpg?v=1715847035
CSI ZONE Store;Surabaya;AFUL Performer 5;AFUL Acoustics;IN-EAR MONITORS;1DD + 4BA Hybrid IEM with EnvisionTEC 3D-Printed Acoustic Tube & RLC Network;IEM hybrid berpaten tabung akustik ultra-panjang 60mm untuk sub-bass elastis dan sirkuit pembagian frekuensi RLC untuk respon vokal bebas distorsi.;219.99;3450000;22;Brand New Sealed;INTERMEDIATE;WARM;https://cdn.shopify.com/s/files/1/0153/8863/files/Headphone-Zone-AFUL-Performer-7-_5_2_-4.4mm-Gallary-01.jpg?v=1787306489
CSI ZONE Store;Surabaya;AFUL Performer 8;AFUL Acoustics;IN-EAR MONITORS;1DD + 7BA Flagship Hybrid IEM with High-Precision 3D Resin Enclosure;IEM hybrid 8 driver per sisi dengan resolusi micro-detail setingkat studio rekaman profesional, separasi instrumen terpisah rapi, dan treble yang sangat airy.;369.99;5790000;14;Brand New Sealed;ENTHUSIAST;NEUTRAL;https://cdn.shopify.com/s/files/1/0153/8863/files/Headphone-Zone-AFUL-Performer-8S-3.5mm-Gallary-002.jpg?v=1778579657
CSI ZONE Store;Surabaya;QKZ x HBB Hades Dual Dynamic Basshead IEM;QKZ;IN-EAR MONITORS;Dual 9mm + 7mm LCP Diaphragm Dynamic Drivers Collab with Bad Guy Good Audio Reviews;IEM monster basshead hasil kolaborasi bersama reviewer HBB, ditenagai dual LCP dynamic driver untuk menghasilkan dentuman sub-bass masif bagi pecinta genre EDM dan hip-hop.;49.99;780000;40;Brand New Sealed;BEGINNER;BASSHEAD;https://cdn.shopify.com/s/files/1/0153/8863/files/Headphone-Zone-QKZ-x-HBB-Hades-gallery-7.jpg?v=1709360146
Verus Audio Official Store;Surabaya;Verus Audio Artemis 8-Core OCC Silver-Plated Modular IEM Cable;Verus Audio;CABLES & ADAPTERS;8-Core Handcrafted 6N OCC Silver-Plated Copper Cable with Modular 3.5mm/4.4mm Plugs & 0.78 2-Pin;Kabel upgrade IEM buatan tangan (handcrafted) dari Verus Audio berbahan kawat tembaga murni 6N OCC lapis perak 8-core. Menghadirkan peningkatan resolusi suara, staging panggung lebih megah, vokal berbobot jernih, dan sistem plug modular 3.5mm & 4.4mm praktis.;59;925000;40;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/0040/7201/3924/products/TripowinNoire-7.jpg?v=1639722508
Xinhs Official Store;Surabaya;XINHS 8-Core Graphene Silver-Plated Copper IEM Cable;XINHS;CABLES & ADAPTERS;8-Core Hybrid Graphene + Single Crystal Copper Silver-Plated 0.78 2-Pin to 4.4mm Balanced;Kabel upgrade IEM rajutan tangan 8-core berkonduktivitas tinggi berbahan hybrid tembaga monokristalin lapis perak dan graphene untuk kejernihan vokal dan panggung suara lebih lebar.;45;710000;60;Brand New Sealed;BEGINNER;NEUTRAL;https://cdn.shopify.com/s/files/1/0040/7201/3924/products/1_5_7cb48c37-e9c1-4b50-a670-77f04a974b49.jpg?v=1667301161
KBEAR Official Store;Surabaya;KBEAR Ormosia;KBEAR;IN-EAR MONITORS;1DD + 2BA Hybrid Earphone CNC Aluminum Faceplate 0.78 2Pin;IEM hybrid ramah di kantong dengan bodi aluminium CNC elegan, menghadirkan respon bass dynamic yang empuk dan kejernihan vokal dual balanced armature.;39;610000;50;Brand New Sealed;BEGINNER;WARM;https://cdn.shopify.com/s/files/1/0257/3333/3066/products/Concept-Kart-KBEAR-8-Core-Limpid-Pro-Upgrade-Cable-For-IEM-Silver-2_3c5c9147-b479-4690-8beb-73834e6487e2.jpg?v=1669379687
Effect Audio Official Store;Surabaya;Effect Audio Ares S Flagship Upgrade Cable;Effect Audio;CABLES & ADAPTERS;UP-OCC Pure Copper 4-Wire 24 AWG with Modular ConX 2-Pin/MMCX & TermX Connectors;Kabel upgrade IEM tembaga murni UP-OCC legendaris buatan Singapura dengan teknologi geometri multi-strand, memperkaya bobot vokal pria, tekstur bass mendalam, dan kehangatan suara alami.;199;3150000;15;Brand New Sealed;ENTHUSIAST;WARM;https://cdn.shopify.com/s/files/1/0911/4281/6054/files/AresSII_-1.jpg?v=1742888288
Truthear Official Store;Surabaya;Truthear GATE;Truthear;IN-EAR MONITORS;10mm Dynamic Driver with Carbon LCP Diaphragm & Transparent Shell;IEM budget penerus Truthear Hola dengan diafragma Carbon LCP, distorsi ultra-rendah di bawah 0.2%, dan tuning neutral-smooth yang sangat nyaman didengarkan berjam-jam.;19.99;315000;150;Brand New Sealed;BEGINNER;NEUTRAL;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/3_1_3131f003-c9bc-4489-b36c-c39a9593e677.jpg?v=1708683816
Truthear Official Store;Surabaya;Truthear HEXA;Truthear;IN-EAR MONITORS;1DD + 3BA Hybrid In-Ear Monitor DLP 3D-Printed Acoustic Structure;IEM hybrid patokan (benchmark) di bawah 1 juta rupiah dengan 1 Dynamic Driver poliuretan untuk bass bersih dan 3 Balanced Armature custom untuk vokal transparan dan imaging presisi.;79.99;1250000;75;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/1791/0383/files/TruthearHexa1024x1024.jpg?v=1709186773
Truthear Official Store;Surabaya;Truthear NOVA;Truthear;IN-EAR MONITORS;1DD + 4BA Hybrid IEM with DLP 3D Medical Resin & Harman Target 2019 Tuning;IEM hybrid 5 driver yang disetel presisi mendekati kurva Harman Target 2019, menghadirkan sub-bass yang punchy, vokal wanita yang sangat forward dan jernih, serta separasi instrumen terpisah rapi.;149.99;2350000;30;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/1791/0383/files/TruthearNova201024x1024.jpg?v=1709186626
ThieAudio Official Store ;Surabaya;Thieaudio Monarch MKIII Flagship Tribrid IEM;Thieaudio;IN-EAR MONITORS;Tribrid IEM (2 Dynamic Drivers IMPACT2 + 6 BA + 2 Electrostatic Drivers);IEM kelas endgame legendaris dengan sistem isobaric sub-woofer IMPACT2 ganda untuk hentakan bass bertenaga tanpa mengorbankan kejernihan midrange, serta dual electrostatic driver Sonion untuk ekstensi treble tanpa batas.;999;15750000;8;Brand New Sealed;FLAGSHIP;NEUTRAL;https://cdn.shopify.com/s/files/1/0023/9255/5595/files/thieaudio-monarch-mk3-0-thumb.jpg?v=1689965513
